year,month,day,researcher,site,shoot.id,sheath.length.cm,no.leaves,L1.length.cm,L1.lesion.present,L1.lesion.pc,L1.grazing.pc,L1.brokentip,L1.belowsheath,L2.length.cm,L2.lesion.present,L2.lesion.pc,L2.grazing.pc,L2.brokentip,L2.belowsheath,L3.length.cm,L3.lesion.present.visual,L3.lesion.pc.visual,L3.grazing.pc,L3.brokentip,L3.belowsheath,L4.length.cm,L4.lesion.present,L4.lesion.pc,L4.grazing.pc,L4.brokentip,L4.belowsheath,L5.length.cm,L5.lesion.present,L5.lesion.pc,L5.grazing.pc,L5.brokentip,L5.belowsheath,L6.length.cm,L6.lesion.present,L6.lesion.pc,L6.grazing.pc,L6.brokentip,L6.belowsheath,L7.length.cm,L7.lesion.present,L7.lesion.pc,L7.grazing.pc,L7.brokentip,L7.belowsheath,notes.visual.scoring,notes.scan.scoring
2017,may,15,JG,aquavitae,34,13,5,12,0,0,0,N,N,27,1,10,0,N,N,32,1,40,0,N,N,25,0,0,0,N,N,22.5,1,1,0,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L2- 1x Lacuna,.
2017,may,15,JG,aquavitae,35,7.5,6,1,0,0,0,N,N,10.5,0,0,0,N,N,19,0,0,0,N,N,19.5,1,1,0,N,N,15,1,0.1,0,N,N,12,1,1,0,N,N,NA,NA,NA,NA,NA,NA,L3- 2x Lacuna; L5- 3x Lacuna,.
2017,may,15,JG,aquavitae,36,8,6,6.5,0,0,0,N,N,24.5,1,1,1,N,N,18,1,5,0,N,N,19.5,0,0,0,N,N,23,1,0.1,0,N,N,19,1,10,0,Y,Y,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,JG,aquavitae,37,9,6,4,0,0,0,N,N,12,0,0,0,N,N,21.5,0,0,0,N,N,21,0,0,0,N,N,21,1,1,0,N,Y,20.5,1,20,0,N,Y,NA,NA,NA,NA,NA,NA,L4- 1x Lacuna,.
2017,may,15,JG,aquavitae,38,12.5,5,3.5,0,0,0,N,N,29.5,0,0,0,N,N,19,0,0,0,N,N,27.5,0,0,1,N,N,25.5,1,0.1,0,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,JG,aquavitae,39,11.5,7,5.5,0,0,0,N,N,15.5,0,0,0,N,N,25.5,1,5,0,N,N,27.5,0,0,0,N,N,24.5,0,0,0,N,Y,22,1,0.1,0,N,Y,21.5,1,1,0,N,Y,L5- 2x Lacuna; L6- 1x Lacuna; L7- 1x Lacuna,.
2017,may,15,JG,aquavitae,40,8,5,5.5,0,0,0,N,N,17.5,0,0,0,N,N,25.5,1,1,0,N,N,26,1,0.1,0,N,Y,25.5,1,1,1,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L3- 2X Lacuna; L4- 1x Lacuna,.
2017,may,15,FS,aquavitae,41,6,5,0.5,0,0,0,N,N,10,0,0,0,N,N,16.5,1,0.5,1,N,N,16,0,0,0,N,N,14.5,1,0.1,0,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,FS,aquavitae,42,14.5,5,18,0,0,0,N,N,34.5,1,1,0.1,N,N,14,1,0.1,0,Y,N,13,1,0.1,0,Y,Y,14,1,10,0,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,FS,aquavitae,43,12.5,5,11.5,0,0,0,N,N,25.5,0,0,1,N,N,28,1,1,5,N,N,14,1,1,5,N,Y,24,1,10,5,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,FS,aquavitae,44,9,4,4,0,0,0,N,N,14,0,0,0,N,N,24,1,0.1,0,N,N,23.5,0,0,0.1,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L3- 1x Lacuna,.
2017,may,15,FS,aquavitae,45,13,5,12,0,0,0,N,N,29,0,0,0,N,N,30.5,0,0,0,N,N,25.5,1,0.5,1,N,Y,27,1,5,1,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,FS,aquavitae,46,7,4,10,0,0,0,N,N,20.5,0,0,0,N,N,23.5,1,0.1,1,N,N,21.5,1,5,1,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,FS,aquavitae,47,7.5,6,3,0,0,0,N,N,15,0,0,0,N,N,22.5,0,0,0,N,N,20,0,0,0,N,N,18.5,0,0,0,N,Y,20,1,1,0.1,N,Y,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,FS,aquavitae,48,7,6,1,0,0,0,N,N,10.5,0,0,0,N,N,20.5,0,0,0,N,N,21,0,0,0,N,N,18,1,5,0,N,N,20,1,5,0,N,Y,NA,NA,NA,NA,NA,NA,L3- 1x Lacuna,.
2017,may,15,FS,aquavitae,49,5.5,5,5.5,0,0,0,N,N,13,0,0,0,N,N,11.5,0,0,0,N,N,7.5,1,1,0,N,Y,6,0,0,0,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,FS,aquavitae,50,6,5,6,0,0,0,N,N,15.5,0,0,0,N,N,19.5,0,0,0,N,N,15.5,0,0,0,N,N,11.5,0,0,0,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,30,JG,lynn,1,17.5,5,14,0,0,0,N,N,39.5,0,0,0,N,N,42,0,0,0,N,N,35,0,0,0,N,N,25,0,0,1,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L3- 1x Lacuna,.
