Site,Planting date,Sample date,Transect,Start meter,Diversity Treatment,Number of sites,Identity,Quadrat,Present?,Number of discs,Shoot density,Percent cover,Canopy ht,Reproductive shoots,Shoots per disc
Middle Ground,Fall,10/12/17,Blue (S),21,Mono,1,Lynn,6,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),28,Poly ,5,Poly 5,1,Yes,4,42,30,70,0,10.5
Middle Ground,Fall,10/12/17,Blue (S),28,Poly ,5,Poly 5,2,Yes,3,62,50,60,0,20.66666667
Middle Ground,Fall,10/12/17,Blue (S),28,Poly ,5,Poly 5,3,Yes,3,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),28,Poly ,5,Poly 5,4,Yes,2,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),28,Poly ,5,Poly 5,5,No,0,0,0,0,0,NA
Middle Ground,Fall,10/12/17,Blue (S),28,Poly ,5,Poly 5,6,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),35,Mono,1,Nahant,1,Yes,1,7,5,70,0,7
Middle Ground,Fall,10/12/17,Blue (S),35,Mono,1,Nahant,2,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),35,Mono,1,Nahant,3,Yes,5,45,50,70,0,9
Middle Ground,Fall,10/12/17,Blue (S),35,Mono,1,Nahant,4,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),35,Mono,1,Nahant,5,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),35,Mono,1,Nahant,6,Yes,5,55,60,71,0,11
